College Name,Credential Type Description,Head Count - Fall
Algonquin College,Certificate,2693
Algonquin College,Degree (includes applied degree),341
Algonquin College,Diploma,12550
Cambrian College,Certificate,835
Cambrian College,Diploma,2505
Cambrian College,Not Applicable,0
Canadore College,Certificate,395
Canadore College,Diploma,2004
Centennial College,Certificate,1595
Centennial College,Degree (includes applied degree),58
Centennial College,Diploma,7341
Collège Boréal,Certificate,265
Collège Boréal,Diploma,1143
Conestoga College,Certificate,1822
Conestoga College,Degree (includes applied degree),767
Conestoga College,Diploma,6408
Conestoga College,Not Applicable,32
Confederation College,Certificate,747
Confederation College,Diploma,2072
Confederation College,Other type of credential associated with a program,125
Durham College,Certificate,1837
Durham College,Diploma,7325
Fanshawe College,Certificate,2667
Fanshawe College,Degree (includes applied degree),183
Fanshawe College,Diploma,9486
George Brown College,Certificate,2752
George Brown College,Degree (includes applied degree),823
George Brown College,Diploma,11935
Georgian College,Certificate,1805
Georgian College,Degree (includes applied degree),373
Georgian College,Diploma,6273
Humber College,Certificate,2655
Humber College,Degree (includes applied degree),3313
Humber College,Diploma,13798
La Cité Collégiale,Certificate,431
La Cité Collégiale,Degree (includes applied degree),72
La Cité Collégiale,Diploma,3679
Lambton College,Certificate,599
Lambton College,Diploma,2017
Loyalist College,Certificate,276
Loyalist College,Degree (includes applied degree),0
Loyalist College,Diploma,2199
Mohawk College,Certificate,1625
Mohawk College,Diploma,8836
Niagara College,Certificate,1319
Niagara College,Degree (includes applied degree),167
Niagara College,Diploma,5947
Northern College,Certificate,242
Northern College,Diploma,793
Sault College,Certificate,372
Sault College,Diploma,1763
Seneca College,Certificate,2236
Seneca College,Degree (includes applied degree),1681
Seneca College,Diploma,12858
Sheridan College,Certificate,1952
Sheridan College,Degree (includes applied degree),2704
Sheridan College,Diploma,9662
Sir Sandford Fleming College,Certificate,1041
Sir Sandford Fleming College,Diploma,4339
St. Clair College,Certificate,1403
St. Clair College,Diploma,5905
St. Lawrence College,Certificate,682
St. Lawrence College,Degree (includes applied degree),245
St. Lawrence College,Diploma,4439
St. Lawrence College,Other type of credential associated with a program,24
